SKU,Name,Meta: _wc_gla_synced_at,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
KIT5153,Thule Evo Fitting Kit (Kit 5153),1671721624,BRAND,Thule,1,1
KIT5159,Thule Evo Fitting Kit (Kit 5159),1671721624,BRAND,Thule,1,1
KIT5163,Thule Evo Fitting Kit (Kit 5163),1671721624,BRAND,Thule,1,1
KIT5173,Thule Evo Fitting Kit (Kit 5173),1671721624,BRAND,Thule,1,1
KIT5196,Thule Evo Fitting Kit (Kit5196),1671721624,BRAND,Thule,1,1
KIT5201,Thule Evo Fitting Kit (Kit 5201),1671721624,BRAND,Thule,1,1
KIT5213,Thule Evo Fitting Kit (Kit 5213),1671721624,BRAND,Thule,1,1
KIT6001,Thule Evo Flush Rail Kit (Kit 6001),1671721624,BRAND,Thule,1,1
KIT6007,Thule Evo Flush Rail Kit (Kit 6007),1671721624,BRAND,Thule,1,1
KIT6009,Thule Evo Flush Rail Kit (Kit 6009),1671721624,BRAND,Thule,1,1
KIT6010,Thule Evo Flush Rail Kit (Kit 6010),1671721624,BRAND,Thule,1,1
KIT6011,Thule Evo Flush Rail Kit (Kit 6011),1671721624,BRAND,Thule,1,1
KIT6012,Thule Evo Flush Rail Kit (Kit 6012),1671721624,BRAND,Thule,1,1
KIT6013,Thule Evo Flush Rail Kit (Kit 6013),1671721624,BRAND,Thule,1,1
KIT6014,Thule Evo Flush Rail Kit (Kit 6014),1671721624,BRAND,Thule,1,1
KIT6015,Thule Evo Flush Rail Kit (Kit 6015),1671721624,BRAND,Thule,1,1
KIT6016,Thule Evo Flush Rail Kit (Kit 6016),1671721624,BRAND,Thule,1,1
KIT6017,Thule Evo Flush Rail Kit (Kit 6017),1671721624,BRAND,Thule,1,1
KIT6018,Thule Evo Flush Rail Kit (Kit 6018),1671721624,BRAND,Thule,1,1
KIT6019,Thule Evo Flush Rail Kit (Kit 6019),1671721624,BRAND,Thule,1,1
KIT6020,Thule Evo Flush Rail Kit (Kit 6020),1671721624,BRAND,Thule,1,1
KIT6021,Thule Evo Flush Rail Kit (Kit 6021),1671721624,BRAND,Thule,1,1
KIT6022,Thule Evo Flush Rail Kit (Kit 6022),1671721624,BRAND,Thule,1,1
KIT6023,Thule Evo Flush Rail Kit (Kit 6023),1671721624,BRAND,Thule,1,1
KIT6024,Thule Evo Flush Rail Kit (Kit 6024),1671721624,BRAND,Thule,1,1
KIT6028,Thule Evo Flush Rail Kit (Kit 6028),1671721624,BRAND,Thule,1,1
KIT6029,Thule Evo Flush Rail Kit (Kit 6029),1671721624,BRAND,Thule,1,1
KIT6030,Thule Evo Flush Rail Kit (Kit 6030),1671721624,BRAND,Thule,1,1
KIT6031,Thule Evo Flush Rail Kit (Kit 6031),1671721624,BRAND,Thule,1,1
KIT6032,Thule Evo Flush Rail Kit (Kit 6032),1671721624,BRAND,Thule,1,1
KIT6033,Thule Evo Flush Rail Kit (Kit 6033),1671721624,BRAND,Thule,1,1
KIT6034,Thule Evo Flush Rail Kit (Kit 6034),1671721624,BRAND,Thule,1,1
KIT6039,Thule Evo Flush Rail Kit (Kit 6039),1671721624,BRAND,Thule,1,1
